text,Gold Label
"Last quarter, Bernie Sanders, Pete Buttigieg and Joe Biden all raised more money than our campaign did. Will you chip in $5, $20 or whatever you can to help this campaign keep fighting?",no topic
"Every one of the Democratic candidates remaining would make a better president than Donald Trump. But the race for the Democratic nomination is a fractured one. It's not a straightforward narrative captured by glancing at a map, and the process won't be decided by the simple horse race numbers in clickbait headlines. That's never been our focus дуо our focus is on building a broad coalition to win delegates everywhere.

For months, Elizabeth has been near or at the top of the list of candidates that voters are considering for president. According to the latest Economist/YouGov poll, 40-50% of voters across all age groups are considering voting for Warren, including 58% of self-described liberals and 38% of self-described moderates. Elizabeth is best positioned to unite the party and lead the Democratic ticket to defeat Donald Trump.

Our campaign is no stranger to being written off or counted out early. But here's what we do know: Elizabeth has proven the doubters wrong before.

Elizabeth is progressive, effective, and has lived a life that has prepared her for this fight. With a strong organization of more than 1,000 staff on the ground in 31 states, bolstered by a movement of more than 1,000,000 grassroots donors, we are confident that as Americans continue to get to know Elizabeth, they'll see what we see every day: Elizabeth is the only candidate who can unite the party and defeat Donald Trump in November. 

But the only way we'll win this nomination is if everyone reading this digs deep and funds our 100% grassroots-funded campaign. Can you help us keep moving forward? Chip in $2, $20 or whatever you can to power this movement through the critical races to come.",no topic
"A young woman came up to me after my speech in New Hampshire and told me that she was a college student with thousands of dollars in debt дуо and she only had $6 in her bank account. 

Then she said that she still chipped in $3 to our campaign that night. Because that was how important this campaign was to her. 

Iду»m not done fighting for working people, for students, for anybody who believes that we can make things better than they are now. Our campaign is 100% grassroots funded, and we need everyone to dig in deep and chip in $3, $20, or whatever they can today to help us keep moving forward. Can I count on you?","social programs, education"
"Como presidenta, Elizabeth proporcionarн_a el mayor aumento a los beneficios del Seguro Social en casi medio siglo. Inscrн_bete hoy y utiliza la calculadora de Elizabeth para ver cuнзnto aumentarн_an tus beneficios del Seguro Social bajo su plan. 

***

As president, Elizabeth would provide the biggest increase in Social Security benefits in nearly half a century. Sign up today and use Elizabethду»s calculator to see how much your Social Security benefits would increase under her plan.",social programs
"Una cosa queda clara: ahorrar para una jubilaciн_n decente se estнз volviendo mнзs difн_cil y el programa del Seguro Social se ha convertido la fuente principal de ingreso para muchos de nosotros que tenemos mнзs de 65 aн±os.

Elizabeth ha ayudado a liderar la lucha en el Congreso para ampliar el programa del Seguro Social y su plan proporcionarн_a el mayor aumento a los beneficios del Seguro Social en casi medio siglo. Si estнзs de acuerdo que necesitamos aumentar los beneficios del Seguro Social por $200 al mes y actualizar la reglas, inscrн_bete hoy para unirte a Elizabeth.

***

One thing is clear: itду»s getting harder to save enough for a decent retirement and Social Security has become a main source of income for many of us who are over 65.

Elizabeth has helped lead the fight in Congress to expand Social Security, and her plan would provide the biggest and most progressive increase in Social Security benefits in nearly half a century. If you agree that we need to increase Social Security benefits by $200 a month and update its rules, sign up to join Elizabeth today.",social programs
"думдуЦI think it is really important that as we go into the 2020 election that we have the best chance to win against Donald Trump,ду» Warren said. дуЦAnd I think what thatду»s going to be is about prosecuting the case on corruption and drawing the distinction between this administration that is the most corrupt in living memory, and having a Democratic nominee who was willing to take on that corruption.ду»дуќ

думдуЦWe win when we have ideas big enough to meet the problems in peopleду»s lives.ду»дуќ",no topic
"As I travel the country talking to workers at town halls and in selfie lines, I hear that too many face a giant challenge in supporting their families: unpredictable work schedules that leave them with too few hours to afford necessities and no control over their time. 

Across the country, workers are fed up with unpredictable and unfair schedules so theyду»re getting organized - and winning.

My Fair Workweek plan builds on the work of these committed advocates and activists, and ensures that every part-time worker in America is treated with respect and can build a future for themselves and the people they love. It will: 
- Require employers with 15 or more employees to give two weeks of advance notice of work schedules
- Empower employees to ask for schedules that work for them without fear of retaliation.
- Ensure a right to rest between shifts.
- Require employers to offer additional work hours to existing, qualified, part-time workers before hiring new employees or contractors.
- Provide benefits to part-time workers.

Click here to read more.",economic
"думThe senator praised unions as a force for Americaду»s working and middle-class citizens, saying дуЦunions built Americaду»s middle class and unions will rebuild Americaду»s middle class.ду»дуќ

думWarren said the goal is to replicate the healthcare that union members have access to and offer that nationwide.дуќ

думD. Taylor, president of UNITE HERE, spoke in favor of Warrenду»s proposal, saying дуЦhealth care should be a right, and not a privilege, and no one should go without.ду»дуќ","economic, social programs, health"
"дум[Her plan] also highlights the need for a new plan to ease the stress of critical water supplies like the Colorado River basin, where drops in reservoir levels recently forced mandatory water cuts in Arizona and Nevada.дуќ

думWarren touched on various topics including her plan for a 2 percent wealth tax on incomes over $50 million. She talked about providing health insurance to those who need it, protecting public lands and passing federal laws that protect votersду» rights.дуќ

думдуЦAmericaду»s economic agenda is a progressive agenda,ду» Warren said. дуЦThis is what America wants. Whoду»s on the other side? Rich people and people who suck up to rich people.ду»дуќ","economic, social programs, environmental, governance, health"
"думдуЦThe burdens of student debt are not distributed equally across all Americans: our countryду»s student debt crisis is hitting Black and Latinx communities especially hard,ду» Warren wrote in her plan. дуЦHalf of Black borrowers and a third of Latinx borrowers default on their loans within 20 years.ду»дуќ","social programs, social cultural, education"
