Gold Label,words,m_label,covid,economic,education,environmental,foreign policy,governance,health,immigration,military,safety,social cultural,social programs
"social programs,economic","wages,jobs,school","economic,education",0,correct label,school,0,0,0,0,0,0,0,0,0
economic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
no topic,fraud,governance,0,0,0,0,0,fraud,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,"jobs,treatment,regulators,corporations,giant corporations","economic,health",0,"corporations,jobs,regulators,giant corporations",0,0,0,0,treatment,0,0,0,0,0
governance,diplomatic,foreign policy,0,0,0,0,diplomatic,0,0,0,0,0,0,0
environmental,"climate,fossil fuel,fuel,fossil,climate crisis,fuel companies",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
no topic,"inaugural committee,wealthy","economic,governance",0,wealthy,0,0,0,inaugural committee,0,0,0,0,0,0
"governance,foreign policy","militarily,iran,congress","foreign policy,governance,military",0,0,0,0,correct label,correct label,0,0,militarily,0,0,0
"military,foreign policy","expenditure,iraqi,troops,u.s. troops","economic,foreign policy,military",0,expenditure,0,0,correct label,0,0,0,correct label,0,0,0
"covid,health,economic","economic,covid-19","covid,economic",correct label,correct label,0,0,0,0,0,0,0,0,0,0
"health,social programs,economic","employee,healthcare,business","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,"campaign,surveillance","governance,safety",0,0,0,0,0,campaign,0,0,0,surveillance,0,0
governance,impeachment,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs",drugs,safety,0,0,0,0,0,0,0,0,0,drugs,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,campaign,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
"covid,foreign policy,health,immigration","china,chinese virus,borders,virus,chinese","covid,foreign policy,immigration",correct label,0,0,0,correct label,0,0,correct label,0,0,0,0
"covid,health,social programs","coronavirus,vaccine","covid,social programs",correct label,0,0,0,0,0,0,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,"primary,campaign,economy,businesses","economic,governance",0,"businesses,economy",0,0,0,"campaign,primary",0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"covid,health","health,disinfectants","covid,health",correct label,0,0,0,0,0,correct label,0,0,0,0,0
economic,"american workers,workers",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
"immigration,environmental","refugee,climate,candidate","environmental,governance,immigration",0,0,0,correct label,0,candidate,0,correct label,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,"debate stage,debate,candidate",governance,0,0,0,0,0,"debate stage,candidate,debate",0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"governance,immigration,social cultural,safety","protecting,immigration,discrimination,criminal,disabilities,criminal justice","environmental,immigration,safety,social cultural",0,0,0,protecting,0,0,0,correct label,0,correct label,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,impeachment,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,"wealthy,tax",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"social programs,economic",my plan,governance,0,0,0,0,0,my plan,0,0,0,0,0,0
"health,social cultural,social programs","health,health care,black,color","health,social cultural,social programs",0,0,0,0,0,0,correct label,0,0,0,correct label,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,social cultural,immigration","racial,gender",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
no topic,congress,governance,0,0,0,0,0,congress,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,potus,governance,0,0,0,0,0,potus,0,0,0,0,0,0
"governance,foreign policy","impeachment,kingdom,london,supreme court","foreign policy,governance",0,0,0,0,correct label,correct label,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
foreign policy,china,"covid,foreign policy",china,0,0,0,china,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
safety,"who,criminal justice system,criminal,criminal justice","covid,safety",who,0,0,0,0,0,0,0,0,"criminal justice system,criminal justice,criminal",0,0
economic,"economy,workers,congress","economic,governance",0,"workers,economy",0,0,0,congress,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,voting rights,"governance,social cultural",0,0,0,0,0,voting rights,0,0,0,0,voting rights,0
"governance,safety","lobbying,consumer","economic,governance",0,consumer,0,0,0,correct label,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,social cultural,social programs,economic","pell,tuition,tuition-free,college,hbcus,public college,pell grants","education,social cultural,social programs",0,0,correct label,0,0,0,0,0,0,0,correct label,correct label
"safety,foreign policy",no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
environmental,"climate change,climate",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"governance,social cultural",who,covid,who,0,0,0,0,0,0,0,0,0,0,0
safety,"gun,gun violence,epidemic","covid,safety",epidemic,0,0,0,0,0,0,0,0,"gun,gun violence",0,0
"education,environmental,economic","paying jobs,education,jobs,renewable energy,energy,middle class,economy,renewable","economic,education,environmental",0,correct label,correct label,correct label,0,0,0,0,0,0,0,0
governance,"pacs,campaign,fuel","environmental,governance",0,0,0,fuel,0,"pacs,campaign",0,0,0,0,0,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"covid,health,governance","coronavirus,pandemic,defense production act",covid,correct label,0,0,0,0,0,0,0,0,0,0,0
economic,"corporations,giant corporations,workers",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"governance,foreign policy","barr,ukraine","foreign policy,governance",0,0,0,0,correct label,correct label,0,0,0,0,0,0
foreign policy,kingdom,foreign policy,0,0,0,0,correct label,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"covid,health","testing,essential,congress","covid,governance",correct label,0,0,0,0,congress,0,0,0,0,0,0
economic,"supreme court justice,economy,supreme court","economic,governance",0,economy,0,0,0,"supreme court,supreme court justice",0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
foreign policy,"trade deal,china","covid,foreign policy",china,0,0,0,"trade deal,china",0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,"root out corruption,corruption",governance,0,0,0,0,0,"corruption,root out corruption",0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,corrupt,governance,0,0,0,0,0,corrupt,0,0,0,0,0,0
environmental,carbon,environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"covid,health,social programs,economic","workers,health crisis,economy,health,health insurance","covid,economic,health,social programs",correct label,correct label,0,0,0,0,correct label,0,0,0,0,correct label
immigration,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,corrupt,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
foreign policy,"who,russia,defeat isis,foothold,isis","covid,foreign policy",who,0,0,0,"foothold,russia,defeat isis,isis",0,0,0,0,0,0,0
"economic,foreign policy,safety,environmental","yemen,foreign,foreign policies,economic,criminal justice system,criminal,criminal justice","economic,foreign policy,safety",0,correct label,0,0,correct label,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
safety,shootings,safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,"who,muslim","covid,social cultural",who,0,0,0,0,0,0,0,0,0,muslim,0
no topic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
"governance,health,social cultural","who,abortions","covid,social cultural",who,0,0,0,0,0,0,0,0,0,correct label,0
immigration,"border,immigration system,border security,immigration,immigrants",immigration,0,0,0,0,0,0,0,correct label,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,color,social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
"governance,environmental","climate change,filibuster,corruption,climate","environmental,governance",0,0,0,correct label,0,correct label,0,0,0,0,0,0
governance,impeachment,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
environmental,"climate change,climate,who","covid,environmental",who,0,0,"climate change,climate",0,0,0,0,0,0,0,0
safety,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs","medicare,medicare for all,alzheimer",social programs,0,0,0,0,0,0,0,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
military,potus,governance,0,0,0,0,0,potus,0,0,0,0,0,0
military,"va,campaign,veterans","governance,military",0,0,0,0,0,campaign,0,0,"va,veterans",0,0,0
governance,"potus,campaign",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,law enforcement,safety,0,0,0,0,0,0,0,0,0,law enforcement,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,impeachment,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
economic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
governance,"impeachment,corrupt",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
"governance,economic","recession,market,jobs,impeach the president,depression,impeach","economic,governance,health",0,correct label,0,0,0,correct label,depression,0,0,0,0,0
environmental,"who,climate action,climate","covid,environmental",who,0,0,"climate action,climate",0,0,0,0,0,0,0,0
"economic,social cultural","racial,economic","economic,social cultural",0,correct label,0,0,0,0,0,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
