text,label,economic,environment,foreign policy,governance,immigration,military,safety,social programs,social and cultural
gulf oman incident pretext war iran war unmitigated disaster united states iran region world unilateral attack iran illegal unconstitutional,foreign policy,0,0,1,0,0,0,0,0,0
girlboss love good conversation women sidelines politics starting small business women voices important hope women feel big bold ways," economic,social and cultural",1,0,0,0,0,0,0,0,1
problem massive urgent global climate change solutions bigger bolder passing green deal making solving global climate crisis cornerstone presidency,environment,0,1,0,0,0,0,0,0,0
friend hope clear women history month matters women powerful girls," economic,social and cultural",1,0,0,0,0,0,0,0,1
ten days ll stage debate 2 3 democratic voters planning tuning debate focus solve real problems facing hard working americans health care,social programs,0,0,0,0,0,0,0,1,0
democrats putting politics country time smart southern border,immigration,0,0,0,0,1,0,0,0,0
deserved judy,no topic,0,0,0,0,0,0,0,0,0
bottom line fossil fuel profits important survival planet ban fracking nationwide,environment,0,1,0,0,0,0,0,0,0
internationally ranked saber fencer ibtihaj muhammad won bronze 2016 rio olympics time american woman compete olympics hijab spirit activism empowered young kids country womenshistorymonth,social and cultural,0,0,0,0,0,0,0,0,1
ve built small business mayor overseen fastest growing economies nation beating china president build economy americans corporations richest americans changecantwait,economic,1,0,0,0,0,0,0,0,0
reasons freedomdividend create trickle economy local businesses stimulated increase consumption circulate money create millions jobs process," social programs,economic",1,0,0,0,0,0,0,1,0
democrats refuse humanitarian crisis southern border administration seeking 4 5b address humanitarian emergency dems won budge,immigration,0,0,0,0,1,0,0,0,0
start talking national anxiety level people stressed paying bills afford sick donate 1 bring solutions real issues impacting working families debate stage,economic,1,0,0,0,0,0,0,0,0
iowa made candidate visit listening teachers immigrants farmers families state helped shape campaign policies ensure make impact peoples lives,no topic,0,0,0,0,0,0,0,0,0
week des moines register published article 17 words true iowan pronounce ve spending lot time iowa figured give shot,no topic,0,0,0,0,0,0,0,0,0
experts 27 national science academies made clear climate change ranked threats health,environment,0,1,0,0,0,0,0,0,0
created quarter million jobs month employers showing great confidence economy negativity coming anti trump economic experts,economic,1,0,0,0,0,0,0,0,0
government make money student loans top preparing future free pre guaranteed trade school community college cnntownhall sxsw cnnsxsw education,social programs,0,0,0,0,0,0,0,1,0
drain swamp,no topic,0,0,0,0,0,0,0,0,0
merch store live designs coming shirts hats yard signs stand vision america 2020 shop bit ly jcmerchf teamjuli??n juli??n2020 onenationonedestiny,no topic,0,0,0,0,0,0,0,0,0
forward attending jim clyburn fish fry tonight free event referred rare feel good evenings politics eager engage peers people columbia sc great fried fish music rsvp,no topic,0,0,0,0,0,0,0,0,0
grateful allen university morning talked level playing field students select college debt plan establish minimum 50 billion hbcus minority serving institutions," social and cultural,social programs",0,0,0,0,0,0,0,1,1
bullets don distinguish republicans democrats 160 days house passed bill strengthen background checks bill passed,safety,0,0,0,0,0,0,1,0,0
economy world lowest unemployment categories poised big growth trade deals completed import prices china eating tariffs helping targeted farmers big tariff money coming great future usa,economic,1,0,0,0,0,0,0,0,0
teachers teachers work job deserve america job pay bills close teacher pay gap,economic,1,0,0,0,0,0,0,0,0
school teacher white house special teacher fabulous won stop fighting america public school teachers students,social programs,0,0,0,0,0,0,0,1,0
announcement speech monday night,no topic,0,0,0,0,0,0,0,0,0
2010 president obama signed affordable care act law aca consequential pieces legislation history leading millions americans health care coverage including people preexisting conditions congress proud vote dozens times defend aca happy birthday obamacare,social programs,0,0,0,0,0,0,0,1,0
real national emergencies climate change trump useless wall," immigration,environment",0,1,0,0,1,0,0,0,0
kids worried passing math tests shooting school ve nra run state rest country vanjonesshow,safety,0,0,0,0,0,0,1,0,0
congratulations patrick yoes election national president great fraternal order police fight incredible law enforcement officers,safety,0,0,0,0,0,0,1,0,0
,no topic,0,0,0,0,0,0,0,0,0
provide national paid leave make earned benefit social security plan employer pay 2 week 12 weeks paid leave simple," social programs,economic",1,0,0,0,0,0,0,1,0
move forward impeachment process president king donald trump responsibility congress constitutional responsibility action,governance,0,0,0,1,0,0,0,0,0
tonight back hometown wood ridge nj mom tomorrow hitting road team dad truck driving detroit iowa truck stay ia official campaign car stay tuned updates road,no topic,0,0,0,0,0,0,0,0,0
moral failure americans dying neglect underfunding public housing running president great nation judged billionaires nuclear weapons treats vulnerable spending endless amounts military giving tax breaks billionaires rebuild crumbling infrastructure including making substantial investments decent affordable housing," military, social programs,economic",1,0,0,0,0,1,0,1,0
universal health care don senate medicare bill approach good policy eliminating private insurance stated senate bill forcing hospitals accept medicare reimbursement rates cost hospitals billions hurt rural towns cutting significant portion revenues force close health care plan guarantees coverage eliminate private market american people options medicare makes good sound bite practical continue put irresponsible proposals sake winning elections president working american people deserve responsible president real solutions,social programs,0,0,0,0,0,0,0,1,0
purpose census full accurate count population adding citizenship question census blatant attempt undermine weaponize census won stand," immigration,governance",0,0,0,1,1,0,0,0,0
make official announcement run president united states thrilled join siblings celebrate niece wedding morning isn beautiful love mother father smiling heaven messamstrong,no topic,0,0,0,0,0,0,0,0,0
older brothers served military responsibility service members veterans families fail provide safe place live ve broken promise,military,0,0,0,0,0,1,0,0,0
richest country exist millions american families hurting government priorities straight giving 62 cents tax dollar military trump budget proposes leaving 31 cents programs americans rely education child care housing ensuring clean air clean water movement creating government invests people elected serve government invest overwhelmingly military endless war," environment, military, social programs,economic",1,1,0,0,0,1,0,1,0
trump tax cuts making rich richer expense middle class roll back restore full deduction state local income sales property taxes,economic,1,0,0,0,0,0,0,0,0
time work rebuilding american dream running president united states ourfutureisnow ways involved comment issues important share facebook videos care sign email notifications date campaign join rebuilding american dream join donate today confront challenges ahead win future future,no topic,0,0,0,0,0,0,0,0,0
love video introduced announcement week ago tonight iowa things candidates talks meetings house parties interviews learning listening talking discussing tomorrow back york day south carolina hampshire back california fear state throat accepting reiki prayers healing energy older people college students total progressives pretty stalwart conservatives feeling heard deeply grateful money sending money build campaign infrastructure deepest deepest grateful experience committed making worth marianne2020 read issues discuss site spread word support,no topic,0,0,0,0,0,0,0,0,0
,no topic,0,0,0,0,0,0,0,0,0
outrages things haven changed ve encounters black men police turn unnecessarily deadly tamir rice philando castile terence crutcher whentheyseeus hitting close home," social and cultural,safety",0,0,0,0,0,0,1,0,1
bill require girl abused family member carry abuser child chance pregnant definition inhumane,safety,0,0,0,0,0,0,1,0,0
aggressive assertive helping veterans deal trauma feel don turn ve change tools resources heal invest,military,0,0,0,0,0,1,0,0,0
premature decisions time forward reminding world tremendous folly future,no topic,0,0,0,0,0,0,0,0,0
adel iowa,no topic,0,0,0,0,0,0,0,0,0
break massive agribusiness protect family farmers,economic,1,0,0,0,0,0,0,0,0
millions americans living paycheck paycheck shouldn punish people school education,economic,1,0,0,0,0,0,0,0,0
president isn concerned continued threats posed russian hacking step mike pence perform duties expected president united states idea president spend day tweeting racist conspiracies spend seconds standing vladimir putin trouble single american political party michael starr hopkins national press secretary,foreign policy,0,0,1,0,0,0,0,0,0
,no topic,0,0,0,0,0,0,0,0,0
grateful opportunity join nea today incredible educators country afternoon annual conference joined labor leaders organizers roundtable houston committed strengthening unions protecting collective bargaining guaranteeing job paying working american true living wage stand organized labor texas country,economic,1,0,0,0,0,0,0,0,0
taking care basic focus solving big problems time climate change pass freedomdividend economic boot throats millions americans," economic, social programs,economic",1,0,0,0,0,0,0,1,0
,no topic,0,0,0,0,0,0,0,0,0
long past time address bail reform country poor people sit jail don money pay bail offense money back pocket injustice," economic,safety",1,0,0,0,0,0,1,0,0
mexico democrats stop border crisis,immigration,0,0,0,0,1,0,0,0,0
democrats wasted 2 years 25 million money collusion obstruction complete exoneration fight back limited edition collusion tee supplies buy,economic,1,0,0,0,0,0,0,0,0
election back 18 york counties trump 2016 win,no topic,0,0,0,0,0,0,0,0,0
life ve client people fighting people meant fighting behalf survivors sexual assault fight predators fight silence stigma people meant fighting fairer criminal justice system time prevention redemption vocabulary mindset district attorneys created initiative skills job training jail time young people arrested drugs people meant fighting middle class families defrauded banks losing homes millions great recession biggest banks united states won 20 billion california homeowners passed strongest anti foreclosure law united states america president ll fighting spirit people," economic,safety",1,0,0,0,0,0,1,0,0
people talk women issues response glad talk economy historic number democratic women running president hope women sky limit marie claire," economic,social and cultural",1,0,0,0,0,0,0,0,1
94 approval rating republican party,no topic,0,0,0,0,0,0,0,0,0
learning campaign trail ways conversation deeper picture clearer stirring american heart child womb starts kicking task consciousness place gestates give birth hour mystical conceptualization political reality sophisticated describe happening hard penetrate field resistance expanded political conversation people media ego starts screaming heart hope 40 000 donors order make dnc debate stage ll work conversation peripheral central future apoliticsoflove marianne2020,no topic,0,0,0,0,0,0,0,0,0
live tempe arizona town hall tune,no topic,0,0,0,0,0,0,0,0,0
don cohen word provided documentation hush money check,governance,0,0,0,1,0,0,0,0,0
integrity dead roll lie president truth climate important urgent,environment,0,1,0,0,0,0,0,0,0
afraid stand afraid fight women afraid trump wednesday proved candidate,social and cultural,0,0,0,0,0,0,0,0,1
arts public television libraries museums enrich soul educate mind open world possibilities young children trump budget threatens slash 897 million funding programs including completely defunding pbs npr,economic,1,0,0,0,0,0,0,0,0
raised mother taught problem don complain running president stand fight american values,no topic,0,0,0,0,0,0,0,0,0
2001 arrests marijuana increased country account 50 percent drug arrests united states aclu conducted study 8 million marijuana arrests 2001 2010 found 88 percent marijuana possession alarmingly study found african americans 3 73 times arrested marijuana possession white peers marijuana similar rates year introduced marijuana justice act deschedule marijuana federal level states legalize drug importantly bill includes expungement provisions community reinvestment provisions pushes states correct disparate treatment enforcement practices hope favor legalization speak urgency expungement advocate activist broader restorative justice legalize marijuana suffered due prohibition," social and cultural,safety",0,0,0,0,0,0,1,0,1
,no topic,0,0,0,0,0,0,0,0,0
great state tennessee close passing school choice nation children background deserve shot achieving american dream time important,social programs,0,0,0,0,0,0,0,1,0
policy 27 data property data companies family members sell resell data commercial benefit benefits data,economic,1,0,0,0,0,0,0,0,0
