text,Gold Label,words,m_label
great news prime minister boris johnson has just been moved out of intensive care get well boris,"covid,health",no words,no topic
i ve seen firsthand how hard our educators work for little pay and with few resources they deserve better it s time we support our educators by giving them the pay and dignity they deserve,"economic,education",no words,no topic
we are at a point in time where we have to rethink education technology is changing everything how we interact how we get news these forces are incredibly powerful we ve become connected as global communities but a lot of communities have been left behind especially in rural iowa it s putting stress on our education and health care systems and young people have to leave and go to big cities we also have a tremendous imbalance in skills in this country we have to deal with education so all ages can get jobs we have to create collaboration with private sector employers we need life long skills building which is what is going on here climate change is a huge problem and a threat multiplier because it will cause migration trends but most of the world is dependent on fossil fuels most countries around world have no alternative to fossil fuel we need transformative innovation in producing transporting and storing energy,"economic,environmental,health,immigration,education","climate change,health,countries around,dependent,fossil fuel,jobs,climate,fuel,fossil,fossil fuels,migration,education,health care","economic,education,environmental,foreign policy,health,immigration,social programs"
i will host a keep america great rally on thursday october 17 at 7 00 pm cdt at the american airlines center in dallas tx join us bit ly 2on2zqn,no topic,no words,no topic
we ve got one shot to make donald trump a one term president and how we the candidates talk about one another really matters tearing each other down because we have different plans is unacceptable i ve seen this script before it didn t work in 2016 and it will be a disaster for us in 2020,no topic,no words,no topic
communities across the country are feeling the impact of climate change my plan will help cities like charleston prepare for natural disasters and minimize damage to homes p4a us infrastructure,environmental,"climate,climate change",environmental
health care is one of the biggest issues in this election as president i will ensure health care is a right not a privilege and give everyone the peace of mind they deserve read my full plan joebiden com healthcare,"social programs,health","healthcare,health,health care","health,social programs"
ca25 is a rigged election trying to steal it from mike garcia gavin newsom must act now,governance,no words,no topic
scandal has defined the obama administration lisa boothe fox friends weekend,no topic,no words,no topic
max red line in oregon is set to receive 99 99m in usdot funds to reduce delays in the portland area connect citizens to very important locations and make transit great,economic,no words,no topic
q a in iowa we must defeat trump the most dangerous president in history but we have to do more than that our job is to create a government based on compassion not hate and greed join us live from west des moines iowa,no topic,no words,no topic
it s official we re on the ballot for the first in the nation primary in new hampshire thank you to all who helped us get through this first big step including our amazing cory2020 organizers and staff we re just getting started fitn,no topic,no words,no topic
for too many americans the difference between an emergency and a tragedy is the distance between them and their nearest hospital it s time to secure access for all p4a us rural health,"social programs,health",health,health
after arriving in new hampshire at 4 am and being met with a welcoming committee of fired up volunteers we held our first event here this morning in concord thank you to debby butler and everyone who joined us we re bringing our momentum to the granite state,no topic,no words,no topic
every morning i get up i think to myself is beau proud of me he s the one who made me promise to stay engaged and that promise guides me every day,no topic,no words,no topic
alright folks we re doing a happy hour tonight and you re invited join us at 6 30 pm et at joebiden com live,no topic,no words,no topic
i know what it s like to grow up in a family that lives paycheck to paycheck that is something i will never forget,no topic,no words,no topic
biggest stock market rise in history yesterday,economic,"market,stock",economic
joe biden allowed china to rip off the united states for 40 years,no topic,china,foreign policy
with just four days until new hampshire voters head to the polls there s no time to waste we need your help to keep the momentum going from tonight s demdebate chip in 5 to help power our campaign through this crucial stretch,no topic,no words,no topic
i m relying on your support to power my campaign together i know we can defeat donald trump and protect our democracy just 5 can make a difference chip in today,no topic,no words,no topic
today we hit the campaign trail virtually join me live as we wrap up the day with a rally in tampa florida,no topic,no words,no topic
the decision not to prosecute andy mccabe is utterly inexplicable judge napolitano harris faulkner fox news,governance,no words,no topic
why isn t anyone doing anything this is the question survivor patricia maisch asked herself after seeing a woman gunned down in front of her in a grocery store i once asked myself the same question now gun safety reform is a central part of my life s work mikebloom bg 397x5so,safety,gun,safety
i joined chuck rosa for a frigid early morning plunge in the atlantic to stand in solidarity with the victims and survivors of the opioid epidemic chuck and his family are so inspiring with their incredible work chuckysfight to help prevent substance abuse,"safety,health",opioid,safety
when i was 39 i got laid off i didn t know what i d do next but i had an idea to start a company so i took a chance today our company employs 20 000 people and generates large profits almost all of which goes to helping people across the country and around the world i ve always believed in investing in our employees and treating them well we pay our employees very well and provide the best health care benefits money can buy and if someone has a baby they get six months of paid leave i ve run my company according to my values honesty integrity fairness inclusion and that s the same approach i brought to city government i believe my unique set of experiences in business government and philanthropy will enable me to win and lead,no topic,"health,business,health care","economic,health,social programs"
this is a big victory for south carolina the right to vote is the most fundamental american right there is we have to break down barriers to the ballot box and ensure every american can make their voice heard,governance,"right to vote,ballot box",governance
trump won t let him testify because he knows he s guilty,no topic,no words,no topic
saw one of my heroes,no topic,no words,no topic
today s the day south carolina confirm your polling location at iwillvote com sc grab your photo id and make sure to get out and vote before 7 pm et,no topic,no words,no topic
tulsi gabbard live portsmouth rotary club guest speaker greenland nh stand with tulsi donate here join tulsi as she speaks at the portsmouth rotary club in greenland nh tune in to our livestream tulsigabbard tulsi2020 tulsi,no topic,no words,no topic
the old style of politics is broken we can t keep doing the same thing and expecting different results if you re ready for new ideas and a new generation of leadership chip in p4a us nh 2,no topic,no words,no topic
live now beto joins va 28 house of delegates candidate josh cole for canvass kickoff,no topic,no words,no topic
the world needs america but not just any america it needs an america free from entrapment in endless war and prepared to focus on future threats it needs an america that doesn t send troops into conflict without a clear understanding of what will come after the world needs an america ready to reverse the rise of authoritarianism while supporting democracy at home and among our allies it needs america to be the best it s ever been and now it falls to us to set the future of our nation let us choose well,"foreign policy,military,governance","send troops,troops","foreign policy,military"
even though i may not be on the december debate stage tonight we re still in this election to win it by bringing people together in common cause and common purpose to tackle big challenges so today our campaign is launching our very first tv ad together watch it here and then chip in to help us run more like it corybooker com together,no topic,no words,no topic
as we reflect on the incredible legacy of brown v board of education we re reminded of the urgent work that remains before us 66 years later we can t rest until every kid gets a fair shot and we finally live up to our founding ideals of liberty justice and equality for all,"social cultural,education","education,fair shot","economic,education"
i ve released my plan to combat the coronavirus i offer it as a roadmap not for what i will do as president 10 months from now but for the leadership i believe is required right now in this moment president trump is welcome to adopt it today,"health,covid",coronavirus,covid
toxic forever chemicals like pfas should not be in our water my administration will fully enforce safe drinking water standards and aggressively regulate chemicals in our water supply including by designating pfas as the hazardous substance that it is,safety,"safe drinking,water supply,drinking water",environmental
i m proud to announce we ve qualified for the next demdebate see you feb 7 manchester fridayfeeling,no topic,no words,no topic
what kind of nation are we if we simply accept that kids learn active shooter drills with their abcs we have to take on the nra and pass common sense gun safety reforms to protect our children,"education,safety","gun,nra",safety
good the status quo is working great for the wealthy and the well connected but not so much for everyone else big structural change is coming and i m not afraid to fight for it,no topic,wealthy,economic
there is no way zero that mail in ballots will be anything less than substantially fraudulent mail boxes will be robbed ballots will be forged even illegally printed out fraudulently signed the governor of california is sending ballots to millions of people anyone living in the state no matter who they are or how they got there will get one that will be followed up with professionals telling all of these people many of whom have never even thought of voting before how and for whom to vote this will be a rigged election no way,governance,no words,no topic
these aren t just troops they are people friends separated from loved ones costofwar,no topic,troops,military
i know not with what weapons world war iii will be fought but world war iv will be fought with sticks and stones albert einstein,no topic,"world war,war iii",foreign policy
i just stepped off the debate stage and got some good news from my team we re getting closer to our fundraising goal of 7 million before the nevada caucuses on saturday chip in 2 and i could give you a call tomorrow to say thanks,no topic,no words,no topic
governor cuomo should spend more time doing and less time complaining get out there and get the job done stop talking we built you thousands of hospital beds that you didn t need or use gave large numbers of ventilators that you should have had and helped you with testing that you should be doing we have given new york far more money help and equipment than any other state by far these great men women who did the job never hear you say thanks your numbers are not good less talk and more action,"health,covid","ventilators,testing",covid
being a nation of immigrants has always been one of our greatest strengths our diversity makes us stronger donald trump doesn t get that we need a president who does,immigration,immigrants,immigration
the veterans health administration has pioneered innovations in medical care and provides high quality evidence based culturally competent programs that our veterans rely on i won t let it be privatized i ve got a plan to invest in it,"health,military",health,health
on this day in 1940 the first social security check was issued for 80 years social security has kept millions of seniors out of poverty allowing them to live in retirement with dignity and independence trump s cuts would not just be another broken campaign promise it would change the social fabric of our nation as president i will both increase and expand benefits and ensure social security s sustainability for generations to come,social programs,"social security,expand benefits",social programs
this veteran was deported after six years of service that is not what our country should ever be about,"immigration,military",no words,no topic
looting leads to shooting and that s why a man was shot and killed in minneapolis on wednesday night or look at what just happened in louisville with 7 people shot i don t want this to happen and that s what the expression put out last night means it was spoken as a fact not as a statement it s very simple nobody should have any problem with this other than the haters and those looking to cause trouble on social media honor the memory of george floyd,"social cultural,safety",no words,no topic
decades of gop scapegoating has scared many in our party from talking about the poor but if democrats aren t going to be champions for both the middle class and the poor who is i m proud that more and more americans are seeing that we can do both,economic,middle class,economic
as the economy continues to spiral downwards and unemployment soars to great depression era levels we cannot ignore the hard truth this crisis hit us harder and will take longer to recover from because of donald trump s failures,economic,"economy,unemployment",economic
cory booker joined this race knowing that progress is only possible when we rise together from fighting for criminal justice reform to championing baby bonds he leads with compassion and conviction i look forward to working with him to meet our challenges with common purpose,"economic,safety","criminal,criminal justice,justice reform",safety
today s homeless crisis is a direct consequence of decades of discriminatory housing and criminal justice policies i have plan to end homelessness by 2028 not by criminalizing but by investing in affordable housing and opportunity,"economic,social cultural,social programs,safety","criminal,criminal justice",safety
the president s vanity is preventing people from paying their bills,no topic,no words,no topic
jb pritzker governor of illinois and a very small group of certain other governors together with fake news cnn concast msdnc shouldn t be blaming the federal government for their own shortcomings we are there to back you up should you fail and always will be,no topic,no words,no topic
today we honored the courage and determination of the civil rights leaders who marched across edmund pettus bridge on bloody sunday it was an honor to witness rep john lewis challenge us to keep fighting for justice,social cultural,no words,no topic
women of color have been on the front lines of movements and in front of the line at the voting booth in this country honored to know many of these trailblazers and grateful for the work they do fighting for our democracy congrats well deserved,social cultural,color,social cultural
the clock is ticking chip in p4a us dnbw,no topic,no words,no topic
